1670616000;10.12.2022;02:00:00;20.85;40.87;714.09;20.98
1670619600;10.12.2022;03:00:00;21.1;40.58;714.3;21.23
1670623200;10.12.2022;04:00:00;21.06;39.53;714.3;21.16
1670626800;10.12.2022;05:00:00;21.03;38.84;714.42;21.13
1670630400;10.12.2022;06:00:00;21.03;38.43;714.59;21.14
1670634000;10.12.2022;07:00:00;21.04;38.23;714.85;21.15
1670637600;10.12.2022;08:00:00;20.58;38.55;715.17;20.68
1670641200;10.12.2022;09:00:00;20.88;37.95;715.47;21.02
1670644800;10.12.2022;10:00:00;21.38;35.9;715.57;21.51
1670648400;10.12.2022;11:00:00;20.22;36.91;715.48;20.33
1670652000;10.12.2022;12:00:00;20.17;36.68;715.1;20.3
1670655600;10.12.2022;13:00:00;20.71;36.93;714.98;20.85
1670659200;10.12.2022;14:00:00;20.64;37.29;714.83;20.75
1670662800;10.12.2022;15:00:00;20.56;37.11;714.63;20.67
1670666400;10.12.2022;16:00:00;20.24;37.41;714.71;20.38
1670670000;10.12.2022;17:00:00;20.05;37.29;714.68;20.16
1670673600;10.12.2022;18:00:00;19.96;37.97;714.77;20.09
1670677200;10.12.2022;19:00:00;20;39.09;714.81;20.15
1670680800;10.12.2022;20:00:00;20.22;39.16;714.8;20.36
1670684400;10.12.2022;21:00:00;20.66;37.51;714.5;20.82
1670688000;10.12.2022;22:00:00;21.13;37.47;714.28;21.28
1670691600;10.12.2022;23:00:00;21.49;38.14;714;21.62
1670695200;11.12.2022;00:00:00;21.62;41.4;713.76;21.75
1670698800;11.12.2022;01:00:00;21.24;40.91;713.48;21.36
1670702400;11.12.2022;02:00:00;21.15;39.74;713.39;21.28
1670706000;11.12.2022;03:00:00;21;39.88;713.38;21.11
1670709600;11.12.2022;04:00:00;20.85;38.9;713.32;20.99
1670713200;11.12.2022;05:00:00;20.7;38.61;713.34;20.82
1670716800;11.12.2022;06:00:00;20.57;37.92;713.37;20.69
1670720400;11.12.2022;07:00:00;20.43;37.81;713.33;20.56
1670724000;11.12.2022;08:00:00;20.43;37.59;713.48;20.57
1670727600;11.12.2022;09:00:00;21.26;35.27;713.5;21.41
1670731200;11.12.2022;10:00:00;22.57;38.72;713.45;22.67
1670734800;11.12.2022;11:00:00;22.16;39.3;713.36;22.26
1670738400;11.12.2022;12:00:00;22.21;36.61;713.12;22.31
1670742000;11.12.2022;13:00:00;22.17;36.29;712.76;22.28
